38, -32, 278
18, -6, 290
58, 16, 280
64, 16, 278
66, -12, 294
54, -42, 308
50, -22, 300
28, -6, 310
2, 6, 314
-32, -10, 298
-32, 14, 312
-24, 20, 300
-64, 46, 302
-66, 30, 296
-44, 8, 302
-6, -10, 294
-12, 30, 300
16, 24, 288
46, 16, 288
68, -14, 288
52, -40, 296
58, -10, 300
34, -18, 298
10, -30, 306
0, -58, 310
-30, -34, 316
2, 32, 306
0, 54, 314
0, -8, 306
16, -52, 308
60, -20, 302
52, 52, 304
24, 74, 294
46, 30, 288
58, -40, 314
70, -12, 318
38, 36, 294
38, 50, 294
18, 44, 284
-10, -14, 296
-12, -26, 298
-4, -10, 288
-32, 36, 286
-32, -10, 290
-28, -36, 280
32, -44, 320
46, 6, 298
34, 28, 302
62, 14, 308
76, 0, 294
70, 2, 304
58, 18, 296
58, 18, 296
38, 64, 290
38, 64, 290
0, 72, 298
0, 72, 298
0, 72, 298
-16, 38, 290
-16, 38, 290
-52, -32, 288
-32, -56, 288
-16, 0, 274
-40, 18, 282
-8, 26, 274
46, 6, 268
70, -56, 278
66, -24, 290
80, 32, 296
58, 42, 280
50, 8, 294
30, -20, 294
18, 16, 292
20, 42, 300
-4, 40, 292
-48, -14, 292
-20, -54, 298
6, -30, 286
24, 10, 274
20, -10, 276
14, 26, 280
4, -10, 270
6, -34, 276
-34, 0, 298
-58, -8, 310
-68, 18, 292
-72, 16, 312
-42, 48, 320
6, 0, 312
60, -22, 308
64, -10, 306
78, 38, 304
84, 26, 288
74, 20, 294
54, -44, 304
52, -10, 302
16, 38, 308
-10, 42, 286
-32, -4, 302
-32, -52, 302
8, -44, 302
30, 24, 306
36, 20, 286
52, -8, 282
70, -56, 278
84, -24, 296
46, 30, 288
18, 42, 288
10, 0, 296
0, -20, 298
-6, -32, 292
0, -24, 286
-20, -8, 272
-22, -4, 282
2, -14, 288
6, -6, 290
2, 20, 274
-10, 28, 284
-24, -12, 298
0, 18, 280
0, -6, 304
0, 4, 302
24, 40, 304
40, 10, 294
64, 20, 304
60, 0, 306
76, -6, 282
78, 10, 288
66, 30, 300
48, -16, 274
34, -42, 274
26, -28, 292
-20, 10, 282
-50, 12, 282
-40, 14, 282
-50, 8, 276
-60, -40, 282
-64, -18, 290
-30, 30, 306
4, 34, 290
10, 52, 290
36, 16, 302
64, 18, 298
70, -4, 298
86, 12, 300
54, 22, 304
6, 0, 308
-10, -40, 296
-46, -26, 304
-54, -22, 316
-18, 0, 296
6, 14, 286
32, -30, 292
32, 10, 284
28, 0, 270
26, 20, 288
2, 24, 300
-18, 28, 302
-16, 54, 312
-20, 34, 304
-28, -18, 306
8, 10, 314
44, 0, 298
86, 2, 304
90, 4, 294
104, -30, 288
108, -36, 288
78, -56, 292
20, -32, 282
14, 0, 292
6, 2, 282
-28, 0, 294
-42, 6, 294
-38, 6, 288
0, -10, 274
4, -14, 290
8, 12, 294
20, 48, 288
18, 48, 284
0, 38, 282
-40, 16, 286
-38, -8, 288
-44, 16, 304
-26, 8, 312
-10, 8, 306
28, 0, 298
40, -12, 304
54, 18, 312
66, 34, 302
96, -18, 294
114, -46, 304
100, -16, 310
74, 30, 300
64, 50, 294
30, 22, 278
-18, 0, 282
-12, -4, 276
-44, -10, 274
-52, 4, 280
-60, 0, 278
-54, 18, 278
-36, 18, 270
-16, 6, 264
-14, 52, 264
8, 12, 280
8, -12, 290
44, -20, 296
-14, 30, 310
-14, 22, 312
0, 8, 306
32, 6, 312
50, 18, 320
80, 34, 306
68, 16, 288
70, -18, 304
52, 32, 304
12, 24, 294
0, 48, 282
-28, 6, 298
-64, -28, 298
-52, -46, 300
-22, -28, 292
-30, -20, 302
14, -30, 304
58, -12, 304
104, 4, 304
98, 18, 288
88, 20, 280
88, -12, 296
102, -40, 302
56, -4, 290
22, 18, 290
10, 44, 290
-14, -4, 294
0, 4, 290
-16, -12, 278
4, 36, 282
8, 38, 288
-28, 30, 284
-22, -10, 288
2, 0, 286
-14, 26, 290
-52, 20, 290
-4, 14, 294
0, 0, 310
26, 44, 316
0, 12, 306
38, -10, 284
52, -18, 298
88, -58, 320
76, -52, 300
128, -14, 292
96, 24, 268
64, 14, 270
50, -56, 274
46, -54, 280
2, -18, 276
-62, 28, 280
-92, 36, 276
-96, 8, 284
-64, -12, 282
-70, 40, 284
-36, 46, 282
10, 70, 274
4, 36, 272
56, 4, 282
52, 0, 288
40, 10, 288
24, 24, 292
2, -16, 306
-16, -30, 316
-4, -36, 312
0, -16, 314
-32, 0, 302
2, -24, 296
40, -10, 308
56, -6, 292
70, 14, 302
60, 18, 290
20, 0, 300
-12, 18, 310
-32, 26, 302
-30, 26, 302
-6, 18, 304
-16, 4, 314
32, -38, 302
66, -52, 298
80, -38, 290
88, 0, 284
92, 0, 274
92, -72, 282
84, -46, 294
60, 12, 298
20, 0, 286
6, -26, 294
-10, -16, 294
-24, -28, 304
-10, 12, 292
-20, 22, 296
-20, 62, 284
-20, 22, 284
-20, 6, 280
-6, 2, 296
-8, 22, 288
-40, 30, 282
-8, 26, 288
-26, 0, 298
-14, -14, 308
-10, 0, 330
34, 28, 304
70, 38, 320
96, 6, 314
118, -40, 302
128, -64, 300
128, -14, 304
80, 54, 292
44, 36, 286
28, 0, 284
14, -18, 276
-34, -24, 274
-64, 0, 264
-116, 32, 266
-92, 26, 274
-88, 8, 270
-56, 4, 280
-4, 14, 274
0, 42, 272
30, 22, 264
24, 6, 278
34, 2, 288
28, 34, 302
20, 54, 316
-26, 34, 320
-32, 26, 312
-24, -8, 318
-26, 26, 336
28, 36, 316
68, 0, 308
68, 12, 294
70, 8, 300
62, -18, 306
50, -16, 290
32, -16, 298
0, 4, 310
2, -20, 306
-6, -48, 304
-14, -42, 302
0, -28, 292
48, -54, 292
74, -40, 284
88, -28, 288
60, 12, 282
48, -10, 272
42, -6, 288
6, -26, 290
8, -4, 300
14, 54, 306
20, 6, 298
14, -18, 312
32, -26, 316
34, 8, 298
40, 44, 294
-12, 40, 298
-18, 8, 290
8, -32, 296
-30, 32, 310
-68, 46, 288
-64, 38, 270
-50, -14, 278
-10, -28, 294
36, 20, 292
40, 28, 276
80, 10, 276
116, -40, 290
108, -24, 294
124, 8, 296
142, 22, 284
84, -16, 282
74, -20, 280
38, -26, 280
-10, 4, 270
-70, 22, 262
-98, 38, 266
-114, 18, 268
-96, 6, 284
-88, 24, 278
-58, 40, 270
-50, 44, 280
-6, 60, 294
16, 54, 298
36, 30, 312
28, 0, 304
46, 0, 310
26, -10, 332
38, -4, 320
50, 10, 320
62, -30, 304
20, -48, 292
64, -50, 284
52, -6, 276
36, 34, 278
-8, -10, 294
-16, -46, 276
-26, -42, 294
-40, -6, 294
-64, 60, 290
-18, 26, 294
18, 0, 308
44, -32, 308
64, 2, 312
106, 30, 308
94, 12, 298
100, -36, 304
94, -20, 310
106, -32, 300
66, -42, 288
40, -48, 304
6, -50, 300
22, -54, 290
0, -76, 304
-12, -54, 288
-24, -4, 290
8, 54, 284
-50, 40, 294
-50, 14, 284
-40, 20, 288
0, 84, 280
-10, 96, 296
-24, 78, 288
-4, 36, 280
24, 46, 314
46, 38, 292
34, 0, 288
82, -20, 292
82, -22, 296
92, -50, 304
94, -44, 294
102, -52, 286
72, -58, 282
48, -18, 268
0, -24, 270
-8, -10, 272
-42, 12, 280
-64, 4, 280
-78, 64, 270
-98, 52, 276
-98, 26, 280
-62, 36, 282
-26, 20, 282
4, 18, 276
36, 20, 272
8, 40, 288
42, 16, 286
16, 10, 294
-20, 14, 274
-38, 12, 296
-16, 16, 306
-20, 12, 330
12, 0, 300
2, -10, 296
38, -10, 306
78, 16, 312
58, 24, 300
56, 20, 294
56, 26, 298
28, 16, 290
2, 0, 298
-20, -22, 300
-16, -26, 312
-16, -22, 308
16, -42, 298
32, -64, 302
86, -64, 298
102, -64, 300
102, -50, 300
80, -10, 288
42, -10, 296
34, -8, 302
-32, -6, 314
-50, 12, 314
-64, 24, 310
-62, 12, 300
-70, 10, 316
-50, 44, 302
-22, 28, 300
18, 20, 300
-6, 42, 298
22, 14, 290
70, 0, 282
92, 0, 298
72, -32, 294
82, -44, 276
96, -58, 284
92, -26, 276
58, -10, 264
48, -40, 266
60, -28, 258
22, -16, 262
0, 20, 272
-42, 62, 272
-34, 14, 264
-58, 16, 278
-54, 60, 272
-50, 50, 282
-20, 66, 288
-36, 26, 302
-12, 0, 306
20, -10, 304
58, 0, 302
52, 6, 302
46, 0, 302
70, -28, 308
64, -8, 304
40, -24, 312
-6, -10, 296
-14, 10, 296
-24, -8, 300
-30, 8, 306
-92, 14, 312
-52, 54, 296
-14, 44, 316
4, 36, 316
48, 30, 308
70, 2, 296
70, 4, 292
58, 32, 288
64, 42, 294
60, -12, 300
36, -44, 312
28, -68, 320
28, -56, 304
42, -64, 300
10, -86, 288
20, -70, 302
58, -46, 296
22, -56, 300
8, -18, 296
-10, 0, 292
6, 10, 288
-8, 26, 296
-30, 36, 294
-26, 60, 304
6, 28, 304
42, 4, 312
42, 22, 294
44, 16, 292
48, 28, 292
76, -4, 268
34, -42, 286
30, -56, 276
32, -66, 270
10, -26, 276
-18, 0, 278
-8, -22, 276
-16, -24, 274
-20, -8, 276
8, 38, 294
14, 64, 272
36, 56, 276
44, 46, 284
32, 80, 274
60, 56, 286
44, 42, 284
-10, 32, 284
-22, 2, 272
-14, 16, 274
-42, -26, 280
-46, -62, 280
-24, -36, 278
0, -40, 272
22, -12, 268
16, -12, 288
24, 8, 284
48, 26, 302
26, 52, 286
0, 34, 294
-38, 14, 304
6, 28, 304
0, 46, 320
16, 30, 306
-8, 36, 296
30, -8, 276
28, -58, 290
18, -42, 288
24, -26, 286
30, -4, 296
34, -8, 292
16, -20, 300
-16, -54, 300
-4, -40, 312
6, -8, 310
-8, -14, 316
28, -24, 320
38, 0, 316
48, -6, 312
48, 56, 316
76, 48, 304
64, 34, 304
70, -16, 302
30, 16, 294
6, 20, 296
-32, 4, 298
-18, -54, 292
-38, -16, 294
-4, -6, 286
-4, -28, 300
-20, -36, 290
-10, -26, 292
38, 4, 284
28, 8, 298
18, 10, 298
24, 32, 298
54, 50, 286
46, 58, 302
20, 26, 292
14, 4, 298
48, 14, 294
16, 68, 300
-22, 60, 282
6, 20, 262
12, -32, 272
26, -40, 292
24, -14, 286
48, -44, 264
48, -62, 272
32, -34, 268
26, -16, 272
32, 8, 268
-8, 20, 288
0, 16, 278
-38, -6, 288
-32, -4, 296
-54, 38, 292
-48, 50, 288
-28, 30, 296
14, 8, 292
18, -8, 286
10, 36, 284
4, 70, 304
10, 64, 290
-24, 36, 280
-6, -12, 320
-4, -36, 324
8, -26, 328
20, 32, 316
26, 32, 298
44, -28, 292
102, -58, 296
88, -60, 294
68, -12, 290
32, 22, 280
-4, 8, 268
-22, -36, 284
-28, -22, 290
-36, -28, 294
-26, 10, 290
-26, 10, 288
-6, 32, 290
28, 0, 288
22, -44, 298
82, -16, 302
80, 48, 306
94, 36, 296
70, 0, 308
60, -10, 300
58, 0, 328
50, 0, 312
6, 24, 288
0, 18, 296
-26, 0, 294
-24, -34, 286
-50, 0, 286
-70, 24, 266
-88, 0, 266
-20, -14, 278
2, -14, 292
-8, 20, 286
20, 46, 278
70, 26, 278
74, -12, 288
94, -18, 290
86, 8, 296
84, 30, 284
64, -38, 284
56, -36, 282
32, -4, 280
18, 26, 276
-34, 6, 272
-40, 2, 280
-28, -16, 282
-12, 18, 264
-46, 20, 286
-34, 50, 272
-14, 42, 286
28, 42, 300
0, 52, 300
20, 28, 294
10, 20, 312
4, 20, 314
38, 20, 320
42, 48, 312
12, -16, 300
18, -22, 296
-10, -46, 294
-26, -42, 294
16, -28, 296
-14, -38, 294
-32, -22, 308
-4, 0, 302
30, 2, 290
36, -14, 308
6, 22, 306
24, 2, 312
86, 14, 306
40, 14, 326
36, 20, 312
62, -4, 306
84, -20, 314
48, -38, 300
14, -64, 284
18, -26, 288
14, 8, 290
-16, -32, 298
-14, -72, 292
14, -58, 294
28, 0, 302
0, 38, 280
2, 58, 280
4, -8, 304
12, 12, 300
6, 24, 310
4, 76, 296
10, 64, 286
28, 12, 286
36, -34, 294
64, 0, 280
66, 24, 280
0, 32, 270
-22, 0, 272
-26, -58, 280
10, -60, 284
-16, -36, 288
-40, 16, 294
6, -10, 294
62, -30, 286
28, -30, 298
44, 8, 282
38, 48, 280
64, 40, 290
44, 46, 280
14, 24, 282
18, 50, 288
2, 32, 262
-20, 46, 276
0, 12, 270
8, 10, 278
-6, 2, 282
0, 0, 264
-22, -6, 274
0, -42, 286
12, -10, 276
6, -4, 284
-6, 0, 272
12, 28, 300
0, 6, 298
2, 0, 294
22, -14, 302
14, 14, 302
18, 44, 300
26, 28, 298
22, 16, 294
24, -20, 292
20, -38, 300
-8, -14, 308
6, 2, 312
8, 22, 298
8, -24, 298
-10, -50, 300
16, -10, 314
56, -30, 304
