24, 6, 288
24, 0, 298
14, 4, 308
8, 8, 312
0, 8, 296
2, 2, 312
4, -6, 298
18, 8, 308
24, 4, 302
30, 0, 304
34, 18, 306
30, 8, 298
18, 0, 298
10, 0, 294
0, 0, 290
4, 0, 296
2, 0, 292
6, -4, 312
12, -20, 290
12, -6, 298
14, 8, 288
24, 12, 296
22, -14, 292
24, -12, 302
0, 0, 292
-20, 16, 292
-16, 14, 294
2, 0, 288
12, 4, 290
34, 10, 288
40, 12, 280
44, 6, 278
40, 4, 272
34, 6, 288
28, 2, 308
-10, -12, 308
-8, -6, 296
-18, 0, 304
-10, 0, 302
0, 0, 306
0, -12, 310
12, 0, 292
34, 20, 298
28, 26, 300
30, 26, 292
26, 0, 286
30, -6, 304
14, 6, 314
16, 6, 310
0, 0, 306
12, -18, 308
24, -6, 292
44, -6, 302
44, -6, 302
44, -16, 284
44, -16, 284
66, -12, 288
66, -12, 288
66, -12, 288
68, 0, 282
60, 0, 296
46, 2, 288
14, 0, 288
-8, 20, 290
-38, 16, 292
-52, 18, 294
-38, 0, 296
-26, -40, 294
2, -12, 298
4, 2, 294
12, 32, 290
22, 28, 296
48, 6, 284
52, -34, 292
54, -18, 288
34, -6, 302
20, 18, 296
12, 0, 286
6, -16, 292
8, -12, 288
4, 6, 290
0, -8, 294
6, 0, 286
0, -8, 288
16, 0, 290
10, 24, 284
14, 28, 280
-6, 14, 286
-12, -18, 286
-26, 0, 298
-20, 30, 294
-12, 48, 288
-12, 26, 296
10, -6, 304
24, -12, 288
42, 4, 294
56, 0, 296
36, 2, 288
50, -16, 300
52, -28, 290
30, 0, 302
2, 2, 286
-14, 2, 294
-26, 2, 296
-32, -4, 302
-28, 0, 292
-34, 0, 302
-16, 22, 288
0, 20, 292
30, 14, 282
42, 10, 288
40, 2, 290
42, 8, 296
28, -8, 290
16, -6, 290
26, -4, 288
18, 2, 296
22, -10, 290
4, -14, 298
24, -4, 286
24, -20, 290
48, -20, 282
44, -30, 290
36, 12, 282
8, 38, 298
-18, 30, 298
-26, -8, 304
-30, 0, 292
-16, 10, 296
-26, 30, 286
0, 42, 280
0, 16, 286
22, -24, 286
28, -12, 282
22, 0, 282
26, 16, 286
32, -12, 282
58, -8, 290
74, -10, 286
68, 0, 274
44, -6, 272
38, 0, 282
32, -4, 286
12, 0, 288
-8, 0, 290
-24, 16, 286
-18, 22, 286
-20, 18, 280
-10, -10, 288
0, 10, 288
22, 14, 282
8, 20, 286
0, 4, 290
-14, 0, 290
2, -4, 298
32, 8, 304
30, 16, 308
30, 2, 294
64, 4, 284
58, -4, 294
60, 0, 290
56, -6, 292
46, 0, 304
34, 2, 300
24, 2, 290
0, 4, 288
-28, 0, 294
-38, 4, 282
-38, 14, 298
-20, 16, 300
-8, 22, 290
14, 0, 294
24, 10, 294
30, 4, 286
32, 6, 290
38, 6, 296
36, 0, 300
42, -16, 314
20, -18, 308
6, 0, 300
10, 10, 300
28, -8, 310
42, -14, 314
54, -18, 308
36, -8, 288
28, 10, 298
18, 36, 290
-14, 20, 294
-2, -8, 294
-10, -14, 312
-12, 12, 306
-28, 32, 302
-10, 22, 296
-4, 12, 292
4, -8, 282
30, -8, 298
50, -8, 294
44, 2, 300
52, 2, 292
42, -4, 286
32, -4, 284
28, 4, 290
24, 6, 282
6, -10, 288
12, -12, 286
8, -22, 288
0, 0, 284
-14, 8, 286
-12, 22, 288
-10, 26, 288
-4, 6, 286
-8, -6, 298
-16, 14, 292
-12, 28, 298
-8, 56, 300
