0, -22, 298
-12, 0, 312
-18, 0, 324
0, 2, 332
-14, 2, 316
18, 0, 312
32, 14, 314
60, 6, 302
56, 4, 304
82, 0, 298
62, 8, 310
44, 4, 308
18, 0, 300
0, 16, 308
-38, 20, 312
-36, 10, 304
-22, 0, 294
-30, -8, 312
0, 8, 306
12, 10, 310
18, -8, 306
36, 0, 310
50, 36, 302
26, 36, 304
40, 4, 306
46, -30, 310
10, -20, 320
18, 18, 306
0, 14, 304
10, -12, 298
20, -18, 302
14, -8, 296
18, 12, 288
-38, 64, 278
-72, 98, 294
-56, 102, 284
-58, 112, 294
-44, 58, 284
-34, 52, 294
-24, 40, 300
-40, 66, 300
6, 68, 306
0, 22, 316
34, 6, 336
24, 14, 322
38, 0, 320
66, -46, 312
84, -58, 308
90, -36, 326
82, -62, 314
48, -52, 310
2, -28, 318
-12, 8, 296
-16, 48, 290
-16, 48, 290
-16, 48, 290
-50, 12, 290
-50, 12, 290
-58, -22, 300
-58, -22, 300
-44, -12, 302
-48, 24, 290
-48, 62, 292
-16, 56, 292
2, 22, 306
22, 30, 304
58, 22, 312
54, 10, 304
58, 8, 298
56, -8, 322
58, 0, 306
72, 0, 328
58, -4, 324
56, 2, 332
56, -18, 308
68, -28, 310
58, -84, 304
0, -84, 308
0, -50, 300
-24, -22, 300
-24, -6, 284
-30, 0, 306
-8, 22, 280
2, 12, 276
46, -18, 268
74, -42, 274
106, -18, 278
106, 2, 274
102, 20, 280
62, 0, 270
54, 10, 284
14, 10, 266
-14, 26, 276
-8, 50, 270
-60, 30, 268
-58, 48, 270
-66, 58, 272
-28, 32, 274
-44, 68, 278
-20, 44, 298
-16, 18, 296
-34, 8, 300
-36, 32, 304
-66, 42, 308
-8, 42, 308
34, -26, 316
40, -4, 312
70, -6, 308
98, -16, 282
94, -50, 272
114, -52, 276
90, -32, 280
54, -4, 274
-4, 6, 274
-48, 10, 276
-82, 0, 280
-96, -10, 288
-98, 0, 292
-56, 60, 294
-50, 70, 286
-44, 88, 294
-4, 106, 278
26, 70, 298
66, 16, 296
82, 34, 320
66, 24, 332
30, 10, 324
8, -50, 330
-28, -62, 334
28, -52, 338
42, -66, 338
40, -60, 328
56, -60, 320
48, -20, 312
38, -24, 298
32, -16, 310
38, 22, 300
-4, 52, 310
-22, 74, 312
-46, 2, 302
-60, 4, 298
-26, 34, 306
-30, 48, 304
-12, 18, 304
30, 20, 294
62, -10, 296
84, 2, 300
70, -6, 284
90, -50, 298
98, -36, 294
92, -24, 316
